ubigeo,tipo_municipalidad,clasificacion_mef
90305,DISTRITAL,G
90306,DISTRITAL,G
90307,DISTRITAL,F
90308,DISTRITAL,E
90309,DISTRITAL,F
90310,DISTRITAL,G
90311,DISTRITAL,G
90312,DISTRITAL,G
90401,PROVINCIAL,B
90402,DISTRITAL,G
90403,DISTRITAL,F
90404,DISTRITAL,G
90405,DISTRITAL,G
90406,DISTRITAL,G
90407,DISTRITAL,G
90408,DISTRITAL,F
90409,DISTRITAL,G
90410,DISTRITAL,G
90411,DISTRITAL,G
90412,DISTRITAL,F
90413,DISTRITAL,F
90501,PROVINCIAL,B
90502,DISTRITAL,G
90503,DISTRITAL,G
90504,DISTRITAL,G
90505,DISTRITAL,F
90506,DISTRITAL,G
90507,DISTRITAL,G
90508,DISTRITAL,F
90509,DISTRITAL,F
90510,DISTRITAL,G
90511,DISTRITAL,G
90601,PROVINCIAL,B
90602,DISTRITAL,F
90603,DISTRITAL,G
90604,DISTRITAL,F
90605,DISTRITAL,E
90606,DISTRITAL,G
90607,DISTRITAL,G
90608,DISTRITAL,F
90609,DISTRITAL,G
90610,DISTRITAL,G
90611,DISTRITAL,G
90612,DISTRITAL,G
90613,DISTRITAL,G
